gX,gY,gZ,aX,aY,aZ,qX,qY,qZ,qW
0.0002,0.0003,-0.0002,0.0120,0.2757,0.0939,0.0000,0.0000,0.0000,0.0000
0.0000,0.0003,-0.0005,0.0127,0.2761,0.0939,0.0000,0.0000,0.0000,0.0000
-0.0001,-0.0003,0.0002,0.0118,0.2758,0.0939,0.0000,0.0000,0.0000,0.0000
0.0003,-0.0004,0.0002,0.0119,0.2759,0.0939,0.0000,0.0000,0.0000,0.0000
-0.0002,0.0004,0.0002,0.0117,0.2760,0.0941,0.0000,0.0000,0.0000,0.0000
-0.0002,0.0003,0.0006,0.0127,0.2751,0.0935,0.0000,0.0000,0.0000,0.0000
-0.0005,-0.0001,0.0002,0.0123,0.2763,0.0940,0.0000,0.0000,0.0000,0.0000
-0.0002,0.0001,0.0001,0.0108,0.2752,0.0940,0.0000,0.0000,0.0000,0.0000
-0.0002,0.0003,0.0001,0.0120,0.2757,0.0939,0.0000,0.0000,0.0000,0.0000
0.0006,0.0000,-0.0002,0.0112,0.2774,0.0946,0.0000,0.0000,0.0000,0.0000
