gX,gY,gZ,aX,aY,aZ,qX,qY,qZ,qW
0.0002,0.0003,-0.0002,0.0120,0.2757,0.0939,0.4233,0.3987,0.5797,0.5708
0.0000,0.0003,-0.0005,0.0127,0.2761,0.0939,0.4280,0.3972,0.5807,0.5673
-0.0001,-0.0003,0.0002,0.0118,0.2758,0.0939,0.4252,0.3985,0.5799,0.5693
0.0003,-0.0004,0.0002,0.0119,0.2759,0.0939,0.4288,0.3976,0.5804,0.5666
-0.0002,0.0004,0.0002,0.0117,0.2760,0.0941,0.4241,0.3973,0.5808,0.5701
-0.0002,0.0003,0.0006,0.0127,0.2751,0.0935,0.4261,0.3993,0.5794,0.5686
-0.0005,-0.0001,0.0002,0.0123,0.2763,0.0940,0.4287,0.3966,0.5812,0.5666
-0.0002,0.0001,0.0001,0.0108,0.2752,0.0940,0.4232,0.4012,0.5781,0.5707
-0.0002,0.0003,0.0001,0.0120,0.2757,0.0939,0.4261,0.3984,0.5801,0.5686
0.0006,0.0000,-0.0002,0.0112,0.2774,0.0946,0.4253,0.3990,0.5798,0.5690
