gX,gY,gZ,aX,aY,aZ,qX,qY,qZ,qW
0.0000,0.0003,-0.0003,0.0306,0.0172,-0.0029,0.0000,0.0000,0.0000,0.0000
-0.0001,0.0003,-0.0006,0.0305,0.0178,-0.0033,0.0000,0.0000,0.0000,0.0000
-0.0002,-0.0003,0.0001,0.0302,0.0171,-0.0018,0.0000,0.0000,0.0000,0.0000
0.0002,-0.0004,0.0001,0.0300,0.0172,-0.0017,0.0000,0.0000,0.0000,0.0000
-0.0004,0.0004,0.0001,0.0304,0.0170,-0.0029,0.0000,0.0000,0.0000,0.0000
-0.0004,0.0003,0.0005,0.0308,0.0178,-0.0023,0.0000,0.0000,0.0000,0.0000
-0.0006,-0.0001,0.0001,0.0300,0.0176,-0.0023,0.0000,0.0000,0.0000,0.0000
-0.0004,0.0001,-0.0001,0.0305,0.0161,-0.0019,0.0000,0.0000,0.0000,0.0000
-0.0004,0.0003,-0.0001,0.0308,0.0172,-0.0033,0.0000,0.0000,0.0000,0.0000
0.0004,0.0000,-0.0003,0.0294,0.0166,-0.0025,0.0000,0.0000,0.0000,0.0000
